iter	Logloss
115	0.4311012786
116	0.4305170492
117	0.4299048657
118	0.4290543693
119	0.4283533985
120	0.4276203806
121	0.4271852661
122	0.4264975253
123	0.425976085
124	0.4254009375
125	0.4249550844
126	0.4246546313
127	0.4240956468
128	0.4235567809
129	0.4229606914
130	0.4222459543
131	0.4216615454
132	0.4210748431
133	0.4204516517
134	0.4201287908
135	0.419437174
136	0.4188416406
137	0.418399761
138	0.4178098533
139	0.4172787107
140	0.4168657196
141	0.4164266063
142	0.41606704
143	0.4154830977
144	0.4149458611
145	0.4144864026
146	0.4141367545
147	0.413636971
148	0.4132216643
149	0.4128143121
150	0.412284498
151	0.4117745131
152	0.4111964139
153	0.4107773467
154	0.4103112248
155	0.4098471306
156	0.4093460825
157	0.408867654
158	0.4085717731
159	0.4083684475
160	0.4077759843
161	0.4073356038
162	0.4069865198
163	0.4064751152
164	0.4061277719
165	0.4057209307
166	0.4053053591
167	0.4048823298
168	0.4047717777
169	0.4044589509
170	0.4042942996
171	0.4039544655
172	0.4037924868
173	0.4033899068
174	0.4030748799
175	0.4027718971
176	0.4023569327
177	0.402057898
178	0.4017667411
179	0.4014185933
180	0.4010734423
181	0.400714021
182	0.4003876931
183	0.4001292415
184	0.3999017822
185	0.3995951991
186	0.3993084024
187	0.3991258483
188	0.3986702667
189	0.3984569886
190	0.3981599875
191	0.3979045382
192	0.3976037409
193	0.397443327
194	0.3972009298
195	0.3970189549
196	0.3968787267
197	0.3965135272
198	0.3963740445
199	0.3960258571
200	0.395673722
201	0.3954884418
202	0.3951784687
203	0.3948449573
204	0.3945810203
205	0.3943494982
206	0.3940819918
207	0.3937851971
208	0.3934951893
209	0.3931545914
210	0.3929519607
211	0.392708945
212	0.3925094599
213	0.392348895
214	0.3922298204
215	0.3919855762
216	0.3918141133
217	0.3916888752
218	0.3914784959
219	0.391361886
220	0.3911055157
221	0.3908661452
222	0.3906805008
223	0.390427176
224	0.3902994735
225	0.3901640093
226	0.3899737564
227	0.3896897414
228	0.3894392852
229	0.3892254452
230	0.3890214149
231	0.3887621439
232	0.3885087914
233	0.3883245169
234	0.3881723235
235	0.3879346824
236	0.3878081662
237	0.387502652
238	0.3873426253
239	0.3870823786
240	0.3868402298
241	0.3866286395
242	0.3864615331
243	0.3862691125
244	0.3861132357
245	0.3859298559
246	0.3857458224
247	0.3856085362
248	0.3854418041
249	0.3852716838
250	0.3851247912
251	0.3848489937
252	0.384728703
253	0.384541422
254	0.3844528875
255	0.384240454
256	0.38407374
257	0.3839198867
258	0.3837894906
259	0.3836255516
260	0.3835115014
261	0.3833675249
262	0.3832320546
263	0.383112488
264	0.3829676491
265	0.3827446102
266	0.3825771246
267	0.3824720067
268	0.3823473714
269	0.3821489526
270	0.3820227696
271	0.3819406994
272	0.3818468912
273	0.3817257057
274	0.3815432364
275	0.381422771
276	0.3813055831
277	0.3811391648
278	0.3810007069
279	0.3808113302
280	0.3807182604
281	0.3806130293
282	0.3805099682
283	0.3803988555
284	0.3802845545
285	0.3801240187
286	0.3800402212
287	0.3798884251
288	0.3797568349
289	0.3795632831
290	0.3793879489
291	0.3792918159
292	0.3791425404
293	0.3790617694
294	0.3789725509
295	0.3788111477
296	0.3786789304
297	0.3785960259
298	0.3785627868
299	0.3784427738
300	0.3783218704
301	0.3782108141
302	0.3780915806
303	0.3779640379
304	0.3779045039
305	0.3777491092
306	0.3776612346
307	0.3775284986
308	0.3774161431
309	0.3773230584
310	0.3771512607
311	0.3771171919
312	0.377050845
313	0.376965005
314	0.3769556467
315	0.376848805
316	0.3767394593
317	0.3766199562
318	0.3764931965
319	0.3763641444
320	0.376256294
321	0.3761125878
322	0.3759820062
323	0.3759085883
324	0.3758393542
325	0.3757811108
326	0.3756955509
327	0.3755795573
328	0.3755109843
329	0.3754139712
330	0.3753401989
331	0.3752753882
332	0.3752239847
333	0.3751789191
334	0.3750769695
335	0.3749751833
336	0.3748713699
337	0.3747608095
338	0.374707808
339	0.3745727821
340	0.374454901
341	0.3743874843
342	0.3743116039
343	0.374202736
344	0.3741512273
345	0.3740508597
346	0.3739568549
347	0.3738306287
348	0.373739436
349	0.3737041194
350	0.3735977219
351	0.3735136486
352	0.3734613739
353	0.3733968215
354	0.3732772803
355	0.3731930216
356	0.3730898839
357	0.3729917767
358	0.3729018939
359	0.3727989713
360	0.3727158851
361	0.3726302481
362	0.3725422155
363	0.3724366671
364	0.3723265674
365	0.3722773222
366	0.3722315723
367	0.3721354347
368	0.3720511
369	0.3720065831
370	0.3719423437
371	0.3718673653
372	0.3718327711
373	0.3717677813
374	0.3716435339
375	0.3715623429
376	0.3715176211
377	0.3714288061
378	0.3713198707
379	0.3712096069
380	0.3711508963
381	0.3710837351
382	0.370966184
383	0.3708237571
384	0.3707395063
385	0.3706160323
386	0.37054451
387	0.3704040269
388	0.3703415539
389	0.3703211788
390	0.3702257408
391	0.3701600102
392	0.3700880832
393	0.3700222241
394	0.3699659774
395	0.3699034293
396	0.3697024616
397	0.3696233629
398	0.3695770256
399	0.3695080541
400	0.3694401883
401	0.3693557452
402	0.3692812403
403	0.3692006822
404	0.3691068575
405	0.3690016776
406	0.3689077999
407	0.3688317885
408	0.3687883507
409	0.3687014706
410	0.3686168053
411	0.368589952
412	0.368530067
413	0.3684853013
414	0.3684075646
415	0.3683588924
416	0.3682702308
417	0.3682263976
418	0.3681633819
419	0.3680967472
420	0.3680292626
421	0.3679594776
422	0.36788391
423	0.3678175291
424	0.3677453614
425	0.3676565225
426	0.3675892088
427	0.3675454658
428	0.367485569
429	0.3674136024
430	0.3673633372
431	0.3672571219
432	0.3672058441
433	0.3671037378
434	0.3670391489
435	0.3669883241
436	0.3669310446
437	0.3668321554
438	0.3667831456
439	0.3667015169
440	0.3666313651
441	0.3665539208
442	0.3664941642
443	0.3664599497
444	0.3664229824
445	0.3663290684
446	0.366277385
447	0.3661967989
448	0.3661279309
449	0.3660349814
450	0.365979705
451	0.3659493195
452	0.3658966478
453	0.365825402
454	0.3657380729
455	0.3656961995
456	0.3656684072
457	0.3655874197
458	0.3654989954
459	0.3654518813
460	0.3654039551
461	0.3653598252
462	0.365278895
463	0.3652515715
464	0.3651998989
465	0.3651634529
466	0.3650510327
467	0.3649875651
468	0.3649454831
469	0.3649000507
470	0.3648276164
471	0.3647792355
472	0.3647285737
473	0.3646637681
474	0.3646381834
475	0.3645976108
476	0.3645295966
477	0.3644937974
478	0.3644081417
479	0.3643248002
480	0.3643119098
481	0.3642342467
482	0.3641695275
483	0.3641582137
484	0.3641218331
485	0.3640739917
486	0.3640313551
487	0.3639560195
488	0.3638817066
489	0.3638224273
490	0.3637783619
491	0.3637317861
492	0.3636996459
493	0.3636574667
494	0.363628869
495	0.3635747308
496	0.3635393811
497	0.3634896638
498	0.3634403826
499	0.3633885465
500	0.363315438
501	0.3632469609
502	0.3632006619
503	0.3631467235
504	0.363122962
505	0.3630823606
506	0.3630684793
507	0.3630222262
508	0.3629973818
509	0.3629528426
510	0.3628903326
511	0.3628437983
512	0.3627955205
513	0.3627661638
514	0.3627250424
515	0.3626531488
516	0.3626297986
517	0.3625649105
518	0.3625150078
519	0.3624631237
520	0.3624371658
521	0.3624034445
522	0.3623255695
523	0.3622779824
524	0.3622149429
525	0.3621840378
526	0.3621201877
527	0.3620610659
528	0.3620304881
529	0.3619863372
530	0.3619460165
531	0.3618993518
532	0.361875948
533	0.361830493
534	0.3618118855
535	0.3617920844
536	0.3617557284
537	0.3617229824
538	0.3616885684
539	0.361629529
540	0.3615735235
541	0.3615092113
542	0.3614488982
543	0.3614269457
544	0.3614020042
545	0.3613592725
546	0.3613094631
547	0.3612372519
548	0.3611336097
549	0.3610776124
550	0.3610558284
551	0.3610177768
552	0.3609431104
553	0.3609029512
554	0.3608605337
555	0.360778337
556	0.3607437518
557	0.3607078283
558	0.3606668979
559	0.360614918
560	0.3605881758
561	0.3605456606
562	0.3605070177
563	0.3604546888
564	0.3604215116
565	0.360381721
566	0.3603122045
567	0.3602531235
568	0.3602190374
569	0.360173235
570	0.3601288942
571	0.3601176204
572	0.3600845868
573	0.3600407639
574	0.3599844012
575	0.3599600415
576	0.3599334388
577	0.3599032775
578	0.3598339118
579	0.3598003502
580	0.3597758738
581	0.3597252457
582	0.3597021356
583	0.3596357263
584	0.3596166718
585	0.3595932944
586	0.3595659756
587	0.3595415706
588	0.359509374
589	0.3594669233
590	0.3594255136
591	0.3593761128
592	0.3593259672
593	0.3592812038
594	0.3592480798
595	0.359226386
596	0.35918942
597	0.3591582327
598	0.359108181
599	0.3590646943
