iter	Passed	Remaining
274	3974	4696
275	3984	4677
276	3994	4658
277	4004	4638
278	4015	4620
279	4023	4598
280	4035	4580
281	4046	4563
282	4052	4539
283	4063	4521
284	4074	4503
285	4083	4483
286	4094	4465
287	4103	4445
288	4114	4427
289	4123	4407
290	4134	4389
291	4145	4372
292	4151	4349
293	4163	4333
294	4176	4318
295	4187	4301
296	4197	4282
297	4209	4265
298	4215	4243
299	4227	4227
300	4238	4209
301	4247	4190
302	4256	4172
303	4265	4153
304	4274	4134
305	4280	4113
306	4292	4096
307	4302	4078
308	4312	4061
309	4324	4045
310	4334	4027
311	4344	4010
312	4355	3994
313	4363	3974
314	4374	3958
315	4380	3937
316	4393	3922
317	4405	3906
318	4414	3888
319	4426	3872
320	4437	3856
321	4444	3836
322	4453	3819
323	4463	3802
324	4474	3786
325	4481	3766
326	4493	3751
327	4505	3736
328	4512	3717
329	4524	3701
330	4535	3686
331	4543	3667
332	4556	3653
333	4566	3636
334	4575	3619
335	4583	3601
336	4594	3585
337	4605	3569
338	4612	3551
339	4623	3535
340	4635	3520
341	4642	3502
342	4652	3486
343	4661	3469
344	4673	3454
345	4681	3436
346	4691	3420
347	4702	3405
348	4709	3387
349	4720	3371
350	4729	3354
351	4739	3338
352	4748	3322
353	4758	3306
354	4769	3291
355	4776	3273
356	4788	3259
357	4800	3245
358	4809	3228
359	4819	3213
360	4830	3197
361	4838	3181
362	4849	3165
363	4858	3149
364	4869	3135
365	4877	3118
366	4888	3103
367	4900	3089
368	4906	3071
369	4918	3057
370	4929	3042
371	4937	3026
372	4947	3011
373	4956	2995
374	4968	2981
375	4976	2964
376	4986	2949
377	4999	2936
378	5005	2918
379	5017	2904
380	5026	2889
381	5035	2873
382	5044	2858
383	5054	2842
384	5066	2829
385	5074	2813
386	5087	2799
387	5098	2785
388	5108	2771
389	5119	2756
390	5131	2742
391	5141	2728
392	5152	2713
393	5164	2700
394	5170	2683
395	5183	2670
396	5194	2656
397	5203	2640
398	5214	2626
399	5225	2612
400	5232	2596
401	5242	2582
402	5252	2567
403	5264	2554
404	5272	2538
405	5283	2524
406	5295	2511
407	5302	2495
408	5314	2481
409	5326	2468
410	5333	2452
411	5346	2439
412	5357	2425
413	5365	2410
414	5376	2396
415	5385	2381
416	5396	2368
417	5407	2354
418	5417	2340
419	5428	2326
420	5435	2311
421	5447	2297
422	5459	2284
423	5466	2268
424	5477	2255
425	5489	2242
426	5497	2227
427	5509	2213
428	5517	2199
429	5528	2185
430	5536	2170
431	5547	2157
432	5559	2144
433	5566	2129
434	5577	2115
435	5590	2102
436	5597	2087
437	5609	2074
438	5620	2061
439	5628	2046
440	5638	2032
441	5648	2019
442	5659	2005
443	5667	1991
444	5678	1977
445	5689	1964
446	5695	1949
447	5707	1936
448	5716	1922
449	5726	1908
450	5735	1895
451	5745	1881
452	5757	1868
453	5764	1853
454	5776	1840
455	5788	1827
456	5795	1813
457	5807	1800
458	5821	1788
459	5827	1773
460	5839	1760
461	5850	1747
462	5858	1733
463	5869	1720
464	5878	1706
465	5889	1693
466	5897	1679
467	5908	1666
468	5920	1653
469	5927	1639
470	5938	1626
471	5951	1613
472	5957	1599
473	5970	1587
474	5982	1574
475	5990	1560
476	6002	1547
477	6013	1534
478	6022	1521
479	6033	1508
480	6042	1494
481	6053	1482
482	6061	1468
483	6072	1455
484	6084	1442
485	6091	1428
486	6104	1416
487	6117	1403
488	6123	1390
489	6136	1377
490	6149	1365
491	6155	1351
492	6169	1338
493	6181	1326
494	6187	1312
495	6199	1299
496	6209	1286
497	6219	1273
498	6229	1260
499	6238	1247
500	6250	1235
501	6256	1221
502	6269	1208
503	6281	1196
504	6290	1183
505	6301	1170
506	6313	1158
507	6320	1144
508	6332	1132
509	6344	1119
510	6353	1106
511	6364	1093
512	6374	1081
513	6384	1068
514	6395	1055
515	6404	1042
516	6417	1030
517	6429	1017
518	6439	1004
519	6450	992
520	6459	979
521	6468	966
522	6481	954
523	6489	941
524	6501	928
525	6514	916
526	6522	903
527	6533	890
528	6546	878
529	6560	866
530	6570	853
531	6581	841
532	6592	828
533	6602	816
534	6614	803
535	6628	791
536	6639	778
537	6651	766
538	6661	753
539	6668	740
540	6681	728
541	6693	716
542	6704	703
543	6714	691
544	6726	678
545	6735	666
546	6746	653
547	6759	641
548	6770	628
549	6779	616
550	6792	604
551	6803	591
552	6811	578
553	6824	566
554	6835	554
555	6844	541
556	6856	529
557	6866	516
558	6878	504
559	6889	492
560	6899	479
561	6910	467
562	6922	454
563	6930	442
564	6943	430
565	6952	417
566	6962	405
567	6974	392
568	6982	380
569	6994	368
570	7006	355
571	7015	343
572	7027	331
573	7039	318
574	7047	306
575	7059	294
576	7071	281
577	7078	269
578	7091	257
579	7104	244
580	7111	232
581	7124	220
582	7137	208
583	7143	195
584	7155	183
585	7167	171
586	7174	158
587	7185	146
588	7194	134
589	7206	122
590	7216	109
591	7228	97
592	7238	85
593	7248	73
594	7257	60
595	7270	48
596	7279	36
597	7289	24
598	7302	12
599	7311	0
